"Player","Pos","X3P","X3PA","X3P.","year"
"Mahmoud Abdul-Rauf","PG",4,14,0.286,2000
"Tariq Abdul-Wahad","SG",4,10,0.4,2000
"Shareef Abdur-Rahim","SF",12,64,0.188,2000
"Cory Alexander","PG",4,16,0.25,2000
"Courtney Alexander","PG",17,46,0.37,2000
"Courtney Alexander","PG",3,10,0.3,2000
"Courtney Alexander","PG",14,36,0.389,2000
"Ray Allen","SG",202,467,0.433,2000
"Rafer Alston","PG",8,30,0.267,2000
"John Amaechi","C",0,7,0,2000
"Derek Anderson","SG",101,253,0.399,2000
"Kenny Anderson","PG",11,33,0.333,2000
"Nick Anderson","SG",10,39,0.256,2000
"Shandon Anderson","SG",46,170,0.271,2000
"Greg Anthony","PG",65,159,0.409,2000
"Darrell Armstrong","PG",143,403,0.355,2000
"Chucky Atkins","PG",121,339,0.357,2000
"Stacey Augmon","SG",0,4,0,2000
"Isaac Austin","C",6,24,0.25,2000
"William Avery","PG",16,59,0.271,2000
"Dalibor Bagarić","C",0,1,0,2000
"Vin Baker","PF",1,16,0.063,2000
"Erick Barkley","PG",3,8,0.375,2000
"Dana Barros","PG",44,105,0.419,2000
"Brent Barry","SG",109,229,0.476,2000
"Jon Barry","SG",46,132,0.348,2000
"Tony Battie","C",0,3,0,2000
"Raja Bell","SG",1,3,0.333,2000
"Jonathan Bender","SF",11,41,0.268,2000
"Corey Benjamin","PG",21,81,0.259,2000
"David Benoit","SF",5,13,0.385,2000
"Travis Best","PG",37,97,0.381,2000
"Mike Bibby","PG",108,285,0.379,2000
"Chauncey Billups","SG",73,194,0.376,2000
"Mookie Blaylock","PG",73,225,0.324,2000
"Corie Blount","PF",2,8,0.25,2000
"Corie Blount","PF",2,8,0.25,2000
"Muggsy Bogues","PG",0,1,0,2000
"Cal Bowdler","SF",1,5,0.2,2000
"Bruce Bowen","SF",103,307,0.336,2000
"Ryan Bowen","SF",4,11,0.364,2000
"Earl Boykins","PG",1,8,0.125,2000
"Shawn Bradley","C",1,6,0.167,2000
"Elton Brand","PF",0,2,0,2000
"Terrell Brandon","PG",33,91,0.363,2000
"Chucky Brown","SF",0,3,0,2000
"Chucky Brown","SF",0,2,0,2000
"Chucky Brown","SF",0,1,0,2000
"Dee Brown","PG",12,32,0.375,2000
"P.J. Brown","C",0,4,0,2000
"Randy Brown","PG",0,3,0,2000
"Rick Brunson","PG",2,14,0.143,2000
"Rick Brunson","PG",2,11,0.182,2000
"Rick Brunson","PG",0,3,0,2000
"Kobe Bryant*","SG",61,200,0.305,2000
"Greg Buckner","SG",2,7,0.286,2000
"Jud Buechler","SF",32,77,0.416,2000
"Rodney Buford","SF",16,38,0.421,2000
"Matt Bullard","PF",86,213,0.404,2000
"Scott Burrell","SF",2,6,0.333,2000
"Marcus Camby","C",1,8,0.125,2000
"Elden Campbell","PF",0,6,0,2000
"Brian Cardinal","PF",0,5,0,2000
"Chris Carr","SG",17,37,0.459,2000
"Anthony Carter","PG",6,40,0.15,2000
"Vince Carter","SF",162,397,0.408,2000
"Sam Cassell","PG",30,98,0.306,2000
"Cedric Ceballos","SF",22,73,0.301,2000
"Cedric Ceballos","SF",11,40,0.275,2000
"Cedric Ceballos","SF",11,33,0.333,2000
"Chris Childs","PG",32,106,0.302,2000
"Chris Childs","PG",20,64,0.313,2000
"Chris Childs","PG",12,42,0.286,2000
"Doug Christie","SG",94,250,0.376,2000
"Keon Clark","PF",0,1,0,2000
"Keon Clark","PF",0,1,0,2000
"Mateen Cleaves","PG",5,17,0.294,2000
"Derrick Coleman","PF",20,51,0.392,2000
"Bimbo Coles","PG",2,16,0.125,2000
"Jason Collier","C",0,1,0,2000
"Sean Colson","PG",1,5,0.2,2000
"Sean Colson","PG",0,1,0,2000
"Sean Colson","PG",1,4,0.25,2000
"Tyrone Corbin","SF",0,5,0,2000
"Chris Crawford","PF",6,22,0.273,2000
"Jamal Crawford","PG",41,117,0.35,2000
"Austin Croshere","PF",70,207,0.338,2000
"John Crotty","PG",4,7,0.571,2000
"Vonteego Cummings","PG",48,143,0.336,2000
"Bill Curley","PF",1,2,0.5,2000
"Bill Curley","PF",0,1,0,2000
"Bill Curley","PF",1,1,1,2000
"Dell Curry","SG",62,145,0.428,2000
"Michael Curry","SG",4,9,0.444,2000
"Erick Dampier","C",0,2,0,2000
"Antonio Daniels","PG",74,183,0.404,2000
"Antonio Davis","C",0,1,0,2000
"Baron Davis","PG",85,274,0.31,2000
"Dale Davis","C",0,4,0,2000
"Emanual Davis","SG",50,127,0.394,2000
"Hubert Davis","PG",78,171,0.456,2000
"Hubert Davis","PG",58,133,0.436,2000
"Hubert Davis","PG",20,38,0.526,2000
"Ricky Davis","SG",1,1,1,2000
"Todd Day","SG",26,69,0.377,2000
"Vinny Del Negro","PG",1,13,0.077,2000
"Vinny Del Negro","PG",1,9,0.111,2000
"Vinny Del Negro","PG",0,4,0,2000
"Tony Delk","SG",54,168,0.321,2000
"Derrick Dial","SG",2,10,0.2,2000
"Michael Dickerson","SG",86,230,0.374,2000
"Vlade Divac*","C",4,14,0.286,2000
"Michael Doleac","C",0,3,0,2000
"Keyon Dooling","PG",28,80,0.35,2000
"Sherman Douglas","PG",8,40,0.2,2000
"Bryce Drew","PG",40,105,0.381,2000
"Tim Duncan*","PF",7,27,0.259,2000
"Tyus Edney","PG",1,6,0.167,2000
"Kevin Edwards","SG",5,19,0.263,2000
"Howard Eisley","SG",107,269,0.398,2000
"Khalid El-Amin","PG",28,84,0.333,2000
"Mario Elie","SG",36,100,0.36,2000
"Sean Elliott","SF",55,129,0.426,2000
"LaPhonso Ellis","PF",7,22,0.318,2000
"Patrick Ewing*","C",0,2,0,2000
"Danny Ferry","SF",70,156,0.449,2000
"Michael Finley","SF",91,263,0.346,2000
"Derek Fisher","PG",25,63,0.397,2000
"Marcus Fizer","PF",10,39,0.256,2000
"Greg Foster","C",3,9,0.333,2000
"Jeff Foster","C",2,7,0.286,2000
"Rick Fox","SF",118,300,0.393,2000
"Steve Francis","PG",133,336,0.396,2000
"Chris Garner","PG",0,7,0,2000
"Kevin Garnett*","PF",19,66,0.288,2000
"Pat Garrity","SF",97,224,0.433,2000
"Chris Gatling","PF",28,92,0.304,2000
"Matt Geiger","C",0,2,0,2000
"Devean George","SF",15,68,0.221,2000
"Eddie Gill","PG",3,9,0.333,2000
"Kendall Gill","SG",4,14,0.286,2000
"Dion Glover","SG",9,46,0.196,2000
"Anthony Goldwire","PG",9,34,0.265,2000
"Steve Goodrich","PF",1,3,0.333,2000
"Brian Grant","C",0,1,0,2000
"Horace Grant","PF",0,3,0,2000
"A.C. Green","PF",0,6,0,2000
"Adrian Griffin","SF",9,26,0.346,2000
"Tom Gugliotta","PF",3,12,0.25,2000
"A.J. Guyton","PG",27,69,0.391,2000
"Darvin Ham","SF",2,3,0.667,2000
"Richard Hamilton","SF",40,146,0.274,2000
"Anfernee Hardaway","SG",2,8,0.25,2000
"Tim Hardaway","PG",189,517,0.366,2000
"Ron Harper","PG",19,72,0.264,2000
"Matt Harpring","SG",13,52,0.25,2000
"Al Harrington","PF",1,7,0.143,2000
"Othella Harrington","C",0,3,0,2000
"Othella Harrington","C",0,3,0,2000
"Lucious Harris","SG",46,132,0.348,2000
"Hersey Hawkins","SG",17,46,0.37,2000
"Michael Hawkins","PG",2,4,0.5,2000
"Alan Henderson","PF",0,1,0,2000
"Cedric Henderson","SF",1,8,0.125,2000
"Chris Herren","PG",16,55,0.291,2000
"Grant Hill*","SF",1,1,1,2000
"Tyrone Hill","PF",0,1,0,2000
"Fred Hoiberg","SG",103,250,0.412,2000
"Robert Horry","PF",54,156,0.346,2000
"Eddie House","PG",19,55,0.345,2000
"Allan Houston","SG",96,252,0.381,2000
"Juwan Howard","PF",0,3,0,2000
"Juwan Howard","PF",0,3,0,2000
"Troy Hudson","PG",22,109,0.202,2000
"Larry Hughes","SG",14,75,0.187,2000
"Lindsey Hunter","PG",152,407,0.373,2000
"Zydrunas Ilgauskas","C",0,2,0,2000
"Allen Iverson*","SG",98,306,0.32,2000
"Bobby Jackson","PG",39,104,0.375,2000
"Jaren Jackson","SG",7,18,0.389,2000
"Jim Jackson","SF",26,80,0.325,2000
"Jim Jackson","SF",16,38,0.421,2000
"Jim Jackson","SF",10,42,0.238,2000
"Marc Jackson","C",5,23,0.217,2000
"Mark Jackson","PG",70,207,0.338,2000
"Mark Jackson","PG",57,165,0.345,2000
"Mark Jackson","PG",13,42,0.31,2000
"Stephen Jackson","SF",52,155,0.335,2000
"Tim James","SF",1,3,0.333,2000
"Antawn Jamison","SF",62,205,0.302,2000
"Anthony Johnson","PG",1,5,0.2,2000
"Anthony Johnson","PG",0,3,0,2000
"Anthony Johnson","PG",1,2,0.5,2000
"Avery Johnson","PG",1,6,0.167,2000
"DerMarr Johnson","SF",41,127,0.323,2000
"Larry Johnson","PF",51,163,0.313,2000
"Damon Jones","PG",84,231,0.364,2000
"Eddie Jones","SG",90,238,0.378,2000
"Jumaine Jones","SF",20,60,0.333,2000
"Popeye Jones","PF",1,6,0.167,2000
"Adam Keefe","PF",1,3,0.333,2000
"Shawn Kemp","PF",4,11,0.364,2000
"Steve Kerr","PG",33,77,0.429,2000
"Jerome Kersey","SF",0,1,0,2000
"Jason Kidd*","PG",69,232,0.297,2000
"Brevin Knight","PG",1,10,0.1,2000
"Brevin Knight","PG",1,10,0.1,2000
"Travis Knight","C",0,1,0,2000
"Toni Kukoč","SF",70,157,0.446,2000
"Toni Kukoč","SF",32,78,0.41,2000
"Toni Kukoč","SF",38,79,0.481,2000
"Christian Laettner","C-PF",4,13,0.308,2000
"Christian Laettner","C",1,3,0.333,2000
"Christian Laettner","PF",3,10,0.3,2000
"Raef LaFrentz","C",51,139,0.367,2000
"Trajan Langdon","SG",51,124,0.411,2000
"Dan Langhi","SF",0,1,0,2000
"Voshon Lenard","SG",147,382,0.385,2000
"Quincy Lewis","SF",9,25,0.36,2000
"Rashard Lewis","PF",123,285,0.432,2000
"Randy Livingston","PG",0,1,0,2000
"Grant Long","PF",4,15,0.267,2000
"Felipe López","SG-PG",19,52,0.365,2000
"Felipe López","SG",6,29,0.207,2000
