"Player","Pos","X3P","X3PA","X3P.","year"
"Quincy Acy","PF",1,2,0.5,"2012"
"Jeff Adrien","PF",0,2,0,"2012"
"Arron Afflalo","SF",72,240,0.3,"2012"
"Josh Akognon","PG",1,2,0.5,"2012"
"LaMarcus Aldridge","PF",2,14,0.143,"2012"
"Lavoy Allen","C",0,1,0,"2012"
"Ray Allen*","SG",139,332,0.419,"2012"
"Tony Allen","SG",3,24,0.125,"2012"
"Al-Farouq Aminu","SF",4,19,0.211,"2012"
"Chris Andersen","C",2,3,0.667,"2012"
"Alan Anderson","SF",95,285,0.333,"2012"
"James Anderson","SG-SF",21,60,0.35,"2012"
"James Anderson","SF",5,11,0.455,"2012"
"James Anderson","SG",16,49,0.327,"2012"
"Ryan Anderson","PF",213,557,0.382,"2012"
"Carmelo Anthony","PF",157,414,0.379,"2012"
"Trevor Ariza","SF",76,209,0.364,"2012"
"Darrell Arthur","PF",5,18,0.278,"2012"
"Ömer Aşık","C",0,1,0,"2012"
"D.J. Augustin","PG",67,190,0.353,"2012"
"Jeff Ayres","PF",2,4,0.5,"2012"
"Luke Babbitt","PF",62,178,0.348,"2012"
"Leandro Barbosa","PG",18,47,0.383,"2012"
"J.J. Barea","PG",97,280,0.346,"2012"
"Andrea Bargnani","PF",38,123,0.309,"2012"
"Harrison Barnes","SF",52,145,0.359,"2012"
"Matt Barnes","SF",111,325,0.342,"2012"
"Will Barton","SG",9,65,0.138,"2012"
"Brandon Bass","PF",0,2,0,"2012"
"Shane Battier","SF",136,316,0.43,"2012"
"Nicolas Batum","SF",165,444,0.372,"2012"
"Jerryd Bayless","PG",71,201,0.353,"2012"
"Aron Baynes","C",0,1,0,"2012"
"Kent Bazemore","SG",10,34,0.294,"2012"
"Bradley Beal","SG",91,236,0.386,"2012"
"Michael Beasley","SF",45,144,0.313,"2012"
"Rodrigue Beaubois","PG",21,72,0.292,"2012"
"Marco Belinelli","SG",79,221,0.357,"2012"
"Patrick Beverley","PG",36,96,0.375,"2012"
"Chauncey Billups","SG",33,90,0.367,"2012"
"DeJuan Blair","PF",0,1,0,"2012"
"Steve Blake","PG",72,171,0.421,"2012"
"Andray Blatche","C",3,22,0.136,"2012"
"Eric Bledsoe","PG",31,78,0.397,"2012"
"Keith Bogans","SG",84,245,0.343,"2012"
"Andrew Bogut","C",1,1,1,"2012"
"Matt Bonner","PF",53,120,0.442,"2012"
"Trevor Booker","PF",0,5,0,"2012"
"Carlos Boozer","PF",0,2,0,"2012"
"Chris Bosh","C",21,74,0.284,"2012"
"Avery Bradley","PG",40,126,0.317,"2012"
"Elton Brand","C",0,1,0,"2012"
"Corey Brewer","SF",91,307,0.296,"2012"
"Ronnie Brewer","SF",23,76,0.303,"2012"
"Ronnie Brewer","SF",22,71,0.31,"2012"
"Ronnie Brewer","SF",1,5,0.2,"2012"
"Aaron Brooks","PG",50,134,0.373,"2012"
"Aaron Brooks","PG",48,127,0.378,"2012"
